Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2
Joselyne Edwards,Wu Yanan,0,0,88,58,0,1,1,0,Women's Bantamweight,U-DEC,3,5:00,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Jason Herzog,Lukasz Bosacki27 - 30.Anders Ohlsson27 - 30.Ben Cartlidge28 - 29.,58 of 129,88 of 178,0.44,0.49,0,1,1,1,229,69,0.37,0.42,0.61,0.53,0.67,0.7,0.43,0.46,0.62,0.71,0.67,0.85,0.47,0.54
Carlos Felipe,Justin Tafa,0,0,77,86,0,0,0,0,Heavyweight,S-DEC,3,5:00,307064d3e0f036c2,W,L,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki28 - 29.Anders Ohlsson29 - 28.Paul Sutherland28 - 29.,77 of 142,86 of 148,0.54,0.58,0,0,0,0,41,113,0.45,0.47,0.78,0.83,1.0,0.94,0.5,0.56,0.93,0.8,0,0,0.54,0.64
Ramazan Emeev,David Zawada,0,0,53,44,4,1,0,0,Welterweight,S-DEC,3,5:00,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge28 - 29.Mike Bell29 - 28.David Lethaby28 - 29.,44 of 114,53 of 101,0.38,0.52,0,0,0,1,126,268,0.27,0.44,0.6,0.87,0.88,0.8,0.33,0.44,0.57,0.86,1.0,1.0,0.6,0.63
Vanessa Melo,Sarah Moras,0,0,56,44,0,0,0,0,Women's Bantamweight,U-DEC,3,5:00,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Keith Peterson,Lukasz Bosacki27 - 30.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,44 of 200,56 of 169,0.22,0.33,0,0,0,0,0,4,0.07,0.28,0.64,0.64,0.93,1.0,0.22,0.33,0,0,0,0,0.22,0.33
Austin Lingo,Jacob Kilburn,1,0,95,64,1,1,0,1,Featherweight,U-DEC,3,5:00,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Marc Goddard,David Lethaby26 - 30.Paul Sutherland26 - 30.Ben Cartlidge27 - 30.,64 of 201,95 of 182,0.31,0.52,1,0,0,0,69,230,0.27,0.49,0.42,0.83,0.9,1.0,0.32,0.53,0.38,0.5,0.33,0.0,0.36,0.56
Stephen Thompson,Geoff Neal,0,0,171,85,0,0,0,0,Welterweight,U-DEC,5,5:00,e49c2db95e572dc8,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary45 - 50.Sal D'amato45 - 50.Junichiro Kamijo45 - 50.,171 of 406,85 of 179,0.42,0.47,0,0,0,0,0,226,0.35,0.44,0.89,0.73,1.0,0.86,0.41,0.47,0.75,0.6,0,0,0.45,0.54
Jose Aldo,Marlon Vera,0,0,44,46,0,0,0,0,Bantamweight,U-DEC,3,5:00,e49c2db95e572dc8,W,L,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell28 - 29.Eric Colon28 - 29.Ron McCarthy28 - 29.,44 of 70,46 of 82,0.62,0.56,0,0,0,0,297,171,0.45,0.24,0.81,0.73,1.0,0.79,0.58,0.49,1.0,0.92,0,0,0.7,0.69
Michel Pereira,Khaos Williams,0,0,44,55,2,0,1,0,Welterweight,U-DEC,3,5:00,e49c2db95e572dc8,W,L,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Eric Colon28 - 29.Tony Weeks28 - 29.,44 of 79,55 of 127,0.55,0.43,1,0,0,0,81,36,0.45,0.31,0.77,0.47,0,0.68,0.49,0.42,0.9,0.54,1.0,0,0.6,0.46
Rob Font,Marlon Moraes,1,0,30,9,0,2,0,0,Bantamweight,KO/TKO Punches,1,3:47,e49c2db95e572dc8,L,W,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,9 of 12,30 of 37,0.75,0.81,0,0,0,1,151,38,0.8,0.79,0.5,1.0,0,0,0.89,0.72,0,1.0,0.33,0.89,0.75,0.8
Marcin Tybura,Greg Hardy,0,0,51,50,1,0,0,0,Heavyweight,KO/TKO Punches,2,4:31,e49c2db95e572dc8,W,L,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Half Guard,51 of 101,50 of 91,0.5,0.54,0,0,0,0,87,2,0.41,0.45,0.83,0.92,1.0,0.69,0.45,0.54,0,0.67,0.67,0,0.54,0.55
Anthony Pettis,Alex Morono,0,0,50,31,0,1,0,0,Welterweight,U-DEC,3,5:00,e49c2db95e572dc8,W,L,3 Rnd (5-5-5),Marc Goddard,Derek Cleary28 - 29.Eric Colon28 - 29.Ron McCarthy28 - 29.,50 of 80,31 of 78,0.62,0.39,0,0,1,0,272,150,0.51,0.36,0.79,0.5,0.87,0.6,0.64,0.37,0.33,0.0,0.5,0.71,0.7,0.49
Pannie Kianzad,Sijara Eubanks,0,0,92,49,0,2,0,0,Women's Bantamweight,U-DEC,3,5:00,e49c2db95e572dc8,L,W,3 Rnd (5-5-5),Mark Smith,Derek Cleary28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,49 of 104,92 of 143,0.47,0.64,0,0,0,0,393,134,0.46,0.54,0.56,0.88,1.0,1.0,0.42,0.57,0.57,0.93,1.0,1.0,0.53,0.71
Deron Winn,Antonio Arroyo,0,0,20,45,12,0,0,0,Catch Weight,U-DEC,3,5:00,e49c2db95e572dc8,W,L,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary28 - 29.Sal D'amato28 - 29.Tony Weeks28 - 29.,20 of 38,45 of 62,0.52,0.72,0,0,0,0,569,28,0.38,0.64,0.71,0.92,1.0,1.0,0.51,0.72,1.0,0,0.0,1.0,0.72,0.8
