Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2
Lyman Good,Chance Rencountre,1,0,68,23,0,0,0,0,Welterweight,KO/TKO Punch,3,2:03,fd87b1bbfcde9d5e,W,L,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,68 of 134,23 of 83,0.5,0.27,0,0,0,0,10,24,0.46,0.11,0.6,0.54,0.91,1.0,0.48,0.25,0.89,1.0,1.0,0,0.51,0.27
Hakeem Dawodu,Julio Arce,0,0,55,32,0,1,0,0,Featherweight,S-DEC,3,5:00,fd87b1bbfcde9d5e,L,W,3 Rnd (5-5-5),Todd Ronald Anderson,Derek Cleary28 - 29.Eric Colon28 - 29.Chris Lee29 - 28.,32 of 124,55 of 139,0.25,0.39,0,0,0,1,56,219,0.21,0.19,0.5,0.6,0.0,0.83,0.24,0.33,0.5,0.79,0,1.0,0.4,0.49
Demian Maia,Ben Askren,0,0,69,63,0,4,1,0,Welterweight,SUB Rear Naked Choke,3,3:54,df05aa15b2d66f57,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,69 of 122,63 of 127,0.56,0.49,1,0,2,1,89,114,0.5,0.47,0.74,0.67,0,1.0,0.49,0.43,0.85,0.85,1.0,1.0,0.61,0.61
Stevie Ray,Michael Johnson,0,0,85,78,1,0,0,0,Lightweight,M-DEC,3,5:00,df05aa15b2d66f57,L,W,3 Rnd (5-5-5),Leon Roberts,Pawel Harasim28 - 29.Barry Foley28 - 29.Evan Field28 - 28.,78 of 173,85 of 188,0.45,0.45,0,0,0,0,0,174,0.34,0.38,0.73,1.0,1.0,0.79,0.45,0.4,1.0,0,0,0.61,0.46,0.5
Beneil Dariush,Frank Camacho,0,0,13,3,2,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:02,df05aa15b2d66f57,L,W,3 Rnd (5-5-5),Kevin Sataki,Rear Naked Choke,3 of 9,13 of 18,0.33,0.72,0,1,0,0,0,45,0.14,0.62,1.0,1.0,0,1.0,0.25,0.69,1.0,1.0,0,0,0.33,0.74
Ciryl Gane,Don'Tale Mayes,1,0,94,32,3,0,1,0,Heavyweight,SUB Heel Hook,3,4:46,df05aa15b2d66f57,W,L,3 Rnd (5-5-5),Herb Dean,Heel Hook From Guard,94 of 168,32 of 121,0.55,0.26,1,0,0,0,135,2,0.45,0.16,0.75,0.56,0.88,0.59,0.53,0.25,0.76,0.67,0.36,0,0.57,0.3
Muslim Salikhov,Laureano Staropoli,0,0,63,42,3,0,0,0,Welterweight,U-DEC,3,5:00,df05aa15b2d66f57,W,L,3 Rnd (5-5-5),Thomas Fan,Evan Field26 - 30.Howard Hughes26 - 30.Takeo Kobayashi28 - 29.,63 of 132,42 of 138,0.47,0.3,0,0,0,0,30,0,0.39,0.24,0.75,0.52,1.0,1.0,0.45,0.3,0.61,0.67,0.6,0,0.48,0.33
Randa Markos,Ashley Yoder,0,0,78,44,0,2,0,0,Women's Strawweight,S-DEC,3,5:00,df05aa15b2d66f57,W,L,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett28 - 29.Howard Hughes28 - 29.Evan Field29 - 28.,78 of 140,44 of 107,0.55,0.41,0,0,1,1,185,336,0.5,0.36,0.77,0.69,0.91,0.43,0.45,0.3,0.79,0.5,0.71,0.88,0.59,0.55
Rafael Fiziev,Alex White,0,0,66,55,1,0,0,0,Lightweight,U-DEC,3,5:00,df05aa15b2d66f57,L,W,3 Rnd (5-5-5),Kevin Sataki,Barry Foley28 - 29.Pawel Harasim27 - 30.Takeo Kobayashi27 - 30.,55 of 133,66 of 131,0.41,0.5,0,0,0,0,61,95,0.36,0.47,0.56,0.46,0.75,0.74,0.34,0.48,0.72,0.64,1.0,0,0.45,0.53
Movsar Evloev,Enrique Barzola,0,0,71,78,4,1,0,0,Featherweight,U-DEC,3,5:00,df05aa15b2d66f57,L,W,3 Rnd (5-5-5),Leon Roberts,Mark Collett28 - 29.Howard Hughes28 - 29.Pawel Harasim27 - 30.,78 of 234,71 of 233,0.33,0.3,0,0,0,0,38,132,0.25,0.29,0.68,0.6,0.64,0.62,0.3,0.3,0.86,0.4,0.53,0.5,0.35,0.32
Sergei Pavlovich,Maurice Greene,1,0,20,8,0,0,0,0,Heavyweight,KO/TKO Punches,1,2:11,df05aa15b2d66f57,L,W,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,8 of 22,20 of 37,0.36,0.54,0,0,0,0,0,15,0.09,0.56,0.5,0.0,0.67,0,0.36,0.41,0,0.62,0,0.67,0.36,0.55
Loma Lookboonmee,Aleksandra Albu,0,0,99,65,1,1,0,0,Women's Strawweight,S-DEC,3,5:00,df05aa15b2d66f57,W,L,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett27 - 30.Pawel Harasim27 - 30.Barry Foley29 - 28.,99 of 151,65 of 157,0.65,0.41,0,0,0,0,22,122,0.47,0.33,0.76,0.84,1.0,0.5,0.51,0.3,0.79,0.74,0,0.5,0.68,0.45
Raphael Pessoa,Jeff Hughes,1,0,39,34,0,0,0,0,Heavyweight,U-DEC,3,5:00,df05aa15b2d66f57,W,L,3 Rnd (5-5-5),Thomas Fan,Howard Hughes27 - 30.Evan Field27 - 30.Takeo Kobayashi27 - 30.,39 of 138,34 of 77,0.28,0.44,0,0,0,1,6,76,0.2,0.22,0.38,0.67,0.78,0.82,0.26,0.41,0.54,0.75,0,0.6,0.3,0.52
Dominick Reyes,Chris Weidman,1,0,8,3,0,1,0,0,Light Heavyweight,KO/TKO Punches,1,1:43,3ae10ac4df3df05c,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,8 of 11,3 of 6,0.72,0.5,0,0,0,0,9,70,0.7,0.25,0,1.0,1.0,0,0.5,0.33,1.0,1.0,0.8,0.5,0.75,0.77
Yair Rodriguez,Jeremy Stephens,0,0,96,50,0,3,0,0,Featherweight,U-DEC,3,5:00,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Kevin MacDonald,David Ginsberg28 - 29.Dave Tirelli28 - 29.Macel Varella28 - 29.,96 of 170,50 of 95,0.56,0.52,0,0,0,0,190,335,0.51,0.46,0.61,1.0,0.85,0.56,0.54,0.37,0.6,0.55,0.6,0.76,0.64,0.63
Greg Hardy,Ben Sosoli,0,0,54,26,0,0,0,0,Heavyweight,Overturned,3,5:00,3ae10ac4df3df05c,NC,NC,3 Rnd (5-5-5),Bryan Miner,Illegal Inhaler Use by HardyLars Borssen28 - 29.Sal D'amato28 - 29.Macel Varella28 - 29.,54 of 105,26 of 97,0.51,0.26,0,0,0,0,0,0,0.31,0.19,1.0,0.56,0.96,1.0,0.5,0.27,1.0,0.0,0,0,0.51,0.27
Joe Lauzon,Jonathan Pearce,0,0,25,8,1,0,0,0,Lightweight,KO/TKO Punches,1,1:33,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Herb Dean,Punches to Head From Back Control,25 of 36,8 of 19,0.69,0.42,0,0,0,0,41,0,0.69,0.29,1.0,0.67,0,1.0,0.47,0.44,1.0,0.0,0.94,0,0.72,0.42
Maycee Barber,Gillian Robertson,0,0,34,12,0,0,0,0,Women's Flyweight,KO/TKO Punches,1,3:04,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Gary Forman,Punches to Head At Distance,34 of 68,12 of 28,0.5,0.42,0,0,0,0,22,44,0.48,0.38,1.0,0.67,0,0.5,0.33,0.41,0.84,1.0,1.0,0,0.54,0.48
Darren Stewart,Deron Winn,0,0,57,29,1,6,0,0,Middleweight,S-DEC,3,5:00,3ae10ac4df3df05c,L,W,3 Rnd (5-5-5),Steve Rita,Eric Colon28 - 29.Nick Mahmood28 - 29.Dave Tirelli29 - 28.,29 of 53,57 of 119,0.54,0.47,0,0,1,0,484,31,0.51,0.47,1.0,0.75,1.0,0,0.35,0.35,0.64,0.82,1.0,0.86,0.67,0.55
Charles Rosa,Manny Bermudez,0,0,6,27,0,1,1,0,Featherweight,SUB Armbar,1,2:46,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Kevin MacDonald,Armbar From Bottom Guard,6 of 8,27 of 38,0.75,0.71,1,0,0,0,0,137,0.33,0.69,1.0,1.0,1.0,0,0.75,0.2,0,0.0,0,0.81,0.73,0.76
Molly McCann,Diana Belbita,0,0,113,98,5,1,1,0,Women's Flyweight,U-DEC,3,5:00,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Bryan Miner,David Ginsberg25 - 30.Chris Lee25 - 30.Dave Tirelli25 - 30.,113 of 238,98 of 252,0.47,0.38,1,0,0,0,219,86,0.43,0.29,0.71,0.74,0.67,0.85,0.41,0.35,0.57,0.62,0.68,1.0,0.5,0.4
Sean Woodson,Kyle Bochniak,0,0,111,42,0,1,0,0,Featherweight,U-DEC,3,5:00,3ae10ac4df3df05c,L,W,3 Rnd (5-5-5),Steve Rita,Marcelo Vilhena26 - 30.Sal D'amato27 - 30.Nick Mahmood27 - 30.,42 of 151,111 of 251,0.27,0.44,0,0,0,0,268,0,0.15,0.4,0.58,0.8,0.83,1.0,0.23,0.43,0.71,0.88,0,0,0.32,0.52
Randy Costa,Boston Salmon,2,0,22,12,0,0,0,0,Bantamweight,KO/TKO Punch,1,2:15,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,22 of 44,12 of 22,0.5,0.54,0,0,0,0,8,43,0.51,0.31,0.33,0.88,0,1.0,0.53,0.52,0.0,1.0,0.43,0,0.51,0.62
Sean Brady,Court McGee,1,0,119,107,2,0,0,0,Welterweight,U-DEC,3,5:00,3ae10ac4df3df05c,L,W,3 Rnd (5-5-5),Bryan Miner,Chris Lee28 - 29.Dave Tirelli27 - 30.Macel Varella27 - 30.,107 of 291,119 of 210,0.36,0.56,0,0,0,0,84,43,0.3,0.51,0.41,0.62,0.92,0.9,0.36,0.57,0.67,0.5,0,0.0,0.41,0.62
Brendan Allen,Kevin Holland,0,0,10,22,2,1,4,1,Middleweight,SUB Rear Naked Choke,2,3:38,3ae10ac4df3df05c,W,L,3 Rnd (5-5-5),Steve Rita,Rear Naked Choke,10 of 22,22 of 38,0.45,0.57,4,1,2,1,174,284,0.37,0.52,1.0,0.83,1.0,0.6,0.36,0.46,1.0,0,0.57,0.83,0.56,0.67
Tanner Boser,Daniel Spitz,0,0,93,32,0,0,0,0,Heavyweight,U-DEC,3,5:00,3ae10ac4df3df05c,L,W,3 Rnd (5-5-5),Gary Forman,Eric Colon27 - 30.Nick Mahmood27 - 30.Dave Tirelli27 - 30.,32 of 108,93 of 151,0.29,0.61,0,0,0,0,0,0,0.24,0.38,0.38,0.93,0.67,0.92,0.3,0.62,0,0,0,0,0.3,0.62
Joanna Jedrzejczyk,Michelle Waterson-Gomez,0,0,180,58,3,1,1,1,Women's Strawweight,U-DEC,5,5:00,0941df56f6ac954b,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee45 - 50.Derek Cleary45 - 50.Dave Tirelli46 - 49.,180 of 300,58 of 160,0.6,0.36,1,1,0,0,334,298,0.35,0.3,0.73,0.3,0.87,0.58,0.54,0.31,0.89,0.74,0,0,0.65,0.41
Cub Swanson,Kron Gracie,0,0,135,86,0,0,0,0,Featherweight,U-DEC,3,5:00,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Kevin MacDonald,Dave Tirelli27 - 30.Derek Cleary27 - 30.Tony Weeks27 - 30.,135 of 288,86 of 200,0.46,0.43,0,0,0,0,36,4,0.39,0.41,0.69,0.5,0.73,0.6,0.44,0.41,0.71,0.69,0.5,0.5,0.48,0.48
Niko Price,James Vick,1,0,11,9,0,0,0,0,Welterweight,KO/TKO Kick,1,1:44,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Herb Dean,"Kick to Head From Bottom Guard
      Upkick",11 of 22,9 of 18,0.5,0.5,0,0,0,0,46,13,0.48,0.4,0,1.0,1.0,1.0,0.22,0.45,0,0,0.69,0.57,0.54,0.53
Amanda Ribas,Mackenzie Dern,0,0,74,20,2,0,0,0,Women's Strawweight,U-DEC,3,5:00,0941df56f6ac954b,L,W,3 Rnd (5-5-5),Michael Cardoso,Tony Weeks27 - 30.Troy Wincapaw27 - 30.Michelle Olney27 - 30.,20 of 145,74 of 206,0.13,0.35,0,0,0,0,2,107,0.12,0.25,0.38,0.75,0.5,0.87,0.13,0.35,0,0,1.0,0.67,0.29,0.39
Matt Frevola,Luis Pena,0,0,48,51,4,1,0,2,Lightweight,S-DEC,3,5:00,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Herb Dean,Chris Lee29 - 28.Tony Weeks28 - 29.Daniel Torres28 - 29.,48 of 110,51 of 120,0.43,0.42,0,2,0,3,170,65,0.33,0.41,0.59,0.47,1.0,1.0,0.44,0.37,0.4,0.8,0,0.67,0.44,0.47
Eryk Anders,Gerald Meerschaert,0,0,64,72,0,0,0,0,Middleweight,S-DEC,3,5:00,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Kevin MacDonald,Derek Cleary29 - 28.Tony Weeks28 - 29.Michelle Olney28 - 29.,64 of 178,72 of 202,0.35,0.35,0,0,0,0,8,0,0.23,0.3,0.64,0.93,0.79,1.0,0.35,0.35,1.0,1.0,0.33,0,0.36,0.36
Ryan Spann,Devin Clark,0,0,17,17,0,2,1,0,Light Heavyweight,SUB Guillotine Choke,2,2:01,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Michael Cardoso,Guillotine Choke Standing,17 of 48,17 of 37,0.35,0.45,1,0,0,0,68,38,0.32,0.3,0.75,0.88,0,1.0,0.22,0.38,0.75,0.75,0,0,0.35,0.52
Mike Davis,Thomas Gifford,2,0,139,88,2,0,0,0,Lightweight,KO/TKO Punch,3,4:45,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Andrew Glenn,Punch to Head At Distance,139 of 222,88 of 242,0.62,0.36,0,0,0,0,116,0,0.58,0.24,0.8,0.78,0.69,0.83,0.57,0.35,0.94,0.73,0.77,0.0,0.63,0.37
Alex Morono,Max Griffin,1,0,81,75,0,4,0,0,Welterweight,U-DEC,3,5:00,0941df56f6ac954b,L,W,3 Rnd (5-5-5),Herb Dean,Michelle Olney28 - 29.Tony Weeks27 - 29.Dave Tirelli27 - 29.,75 of 166,81 of 255,0.45,0.31,0,0,0,0,155,27,0.32,0.26,0.73,0.73,0.83,0.91,0.44,0.29,0.56,0.75,1.0,0.5,0.5,0.33
Deiveson Figueiredo,Tim Elliott,0,0,8,26,0,1,1,0,Flyweight,SUB Guillotine Choke,1,3:08,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Kevin MacDonald,Guillotine Choke From Bottom Guard,8 of 13,26 of 38,0.61,0.68,1,0,0,0,0,4,0.62,0.62,0,0.2,0,0.88,0.6,0.71,0.67,0.6,0,0,0.62,0.73
Marlon Vera,Andre Ewell,0,0,80,50,0,0,2,0,Bantamweight,KO/TKO Elbows,3,3:17,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Andrew Glenn,Elbows to Head From Half Guard,80 of 133,50 of 131,0.6,0.38,2,0,0,0,72,153,0.49,0.34,0.73,0.61,0.83,1.0,0.54,0.4,0.71,0.17,0.82,0.0,0.62,0.45
Miguel Baeza,Hector Aldana,1,0,35,8,1,0,0,0,Welterweight,KO/TKO Kick,2,2:32,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Michael Cardoso,Kick to Leg At Distance,35 of 61,8 of 42,0.57,0.19,0,0,0,0,0,8,0.42,0.07,0.43,0.0,1.0,0.75,0.57,0.19,0,0,0.6,0,0.57,0.19
Marvin Vettori,Andrew Sanchez,0,0,85,39,0,0,0,0,Middleweight,U-DEC,3,5:00,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Herb Dean,Daniel Torres27 - 30.Dave Tirelli27 - 30.Derek Cleary27 - 30.,85 of 205,39 of 185,0.41,0.21,0,0,0,0,20,0,0.39,0.14,0.71,0.35,0.75,0.55,0.39,0.21,0.65,0.5,0,0,0.42,0.21
JJ Aldrich,Lauren Mueller,0,0,74,54,1,1,0,0,Women's Flyweight,U-DEC,3,5:00,0941df56f6ac954b,W,L,3 Rnd (5-5-5),Kevin MacDonald,Tony Weeks27 - 30.Chris Lee28 - 29.Michelle Olney28 - 29.,74 of 160,54 of 147,0.46,0.36,0,0,0,0,112,21,0.42,0.29,0.91,0.5,0.71,1.0,0.46,0.36,0.44,1.0,0,0,0.48,0.39
Israel Adesanya,Robert Whittaker,2,0,40,32,0,0,0,0,Middleweight,KO/TKO Punch,2,3:33,3cf68c1d17f66af7,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,32 of 116,40 of 95,0.27,0.42,0,0,0,0,0,4,0.21,0.34,0.6,0.75,0.64,1.0,0.28,0.41,0,0,0,0.75,0.28,0.42
Dan Hooker,Al Iaquinta,1,0,98,37,0,0,0,0,Lightweight,U-DEC,3,5:00,3cf68c1d17f66af7,L,W,3 Rnd (5-5-5),John Sharp,Richie Gerrard27 - 30.Garth Harriman27 - 30.David Lethaby26 - 30.,37 of 116,98 of 207,0.31,0.47,0,0,0,0,23,150,0.23,0.4,0.64,0.54,0.75,0.88,0.32,0.42,0,0,0,0.88,0.32,0.49
Serghei Spivac,Tai Tuivasa,0,0,23,21,6,0,1,0,Heavyweight,SUB Arm Triangle,2,3:14,3cf68c1d17f66af7,L,W,3 Rnd (5-5-5),Steve Perceval,Arm Triangle From Side Control,21 of 50,23 of 42,0.42,0.54,0,1,0,0,6,262,0.25,0.54,0.5,1.0,0.9,0,0.44,0.3,0.44,1.0,0.0,1.0,0.43,0.67
Dhiego Lima,Luke Jumeau,0,0,32,24,2,0,0,0,Welterweight,S-DEC,3,5:00,3cf68c1d17f66af7,L,W,3 Rnd (5-5-5),Marc Goddard,Garth Harriman28 - 29.Christopher Shen29 - 28.Charlie Keech28 - 29.,24 of 95,32 of 105,0.25,0.3,0,0,0,0,0,159,0.2,0.21,0.25,0.17,1.0,0.71,0.25,0.3,0,0,0,0.33,0.25,0.4
Yorgan De Castro,Justin Tafa,1,0,4,6,0,0,0,0,Heavyweight,KO/TKO Punch,1,2:10,3cf68c1d17f66af7,L,W,3 Rnd (5-5-5),Jim Perdios,Punch to Head At Distance,6 of 9,4 of 12,0.66,0.33,0,0,0,0,69,12,0.62,0.2,1.0,1.0,0,0,0.67,0.5,0.67,0.0,0,0,0.85,0.43
Jake Matthews,Rostem Akman,0,0,59,15,0,0,0,0,Welterweight,U-DEC,3,5:00,3cf68c1d17f66af7,W,L,3 Rnd (5-5-5),Greg Kleynjans,Ben Cartlidge27 - 30.Christopher Shen27 - 30.Charlie Keech27 - 30.,59 of 133,15 of 110,0.44,0.13,0,0,0,0,49,3,0.25,0.09,0.57,0.4,0.91,1.0,0.42,0.11,1.0,0.67,0,0,0.45,0.14
Callan Potter,Maki Pitolo,0,0,48,60,3,0,0,1,Welterweight,U-DEC,3,5:00,3cf68c1d17f66af7,W,L,3 Rnd (5-5-5),Steve Perceval,Anthony Dimitriou28 - 29.David Lethaby28 - 29.Richie Gerrard28 - 29.,48 of 96,60 of 155,0.5,0.38,0,1,1,1,505,94,0.48,0.35,0.67,0.82,1.0,1.0,0.46,0.39,1.0,0,1.0,0,0.64,0.52
Brad Riddell,Jamie Mullarkey,0,0,91,36,1,3,0,1,Lightweight,U-DEC,3,5:00,3cf68c1d17f66af7,W,L,3 Rnd (5-5-5),Marc Goddard,Christopher Shen27 - 29.Ben Cartlidge26 - 30.Charlie Keech26 - 30.,91 of 153,36 of 95,0.59,0.37,0,1,1,1,181,202,0.54,0.3,0.88,1.0,0.88,0.88,0.52,0.38,1.0,0,0.86,0.5,0.62,0.41
Megan Anderson,Zarah Fairn,0,0,10,2,1,0,1,0,Women's Featherweight,SUB Triangle Choke,1,3:57,3cf68c1d17f66af7,W,L,3 Rnd (5-5-5),John Sharp,Triangle Choke From Bottom Guard,10 of 18,2 of 5,0.55,0.4,1,0,0,1,203,23,0.59,0.4,0.0,0,0,0,0.0,0.4,0.0,0,0.77,0,0.67,0.71
Ji Yeon Kim,Nadia Kassem,1,0,80,45,0,1,0,0,Women's Flyweight,KO/TKO Punch,2,4:59,3cf68c1d17f66af7,L,W,3 Rnd (5-5-5),Jim Perdios,Punch to Body At Distance,45 of 131,80 of 179,0.34,0.44,0,0,0,0,64,10,0.13,0.42,0.55,0.63,0.62,0.44,0.34,0.44,0.5,0.62,0.25,0.25,0.38,0.45
Khalid Taha,Bruno Silva,1,0,38,20,0,2,1,0,Bantamweight,Overturned Arm Triangle,3,3:00,3cf68c1d17f66af7,NC,NC,3 Rnd (5-5-5),Greg Kleynjans,Failed Drug Test by Taha,38 of 88,20 of 50,0.43,0.4,1,0,0,0,39,420,0.42,0.27,0.36,0.73,0.62,0.5,0.31,0.32,0.86,1.0,0.68,0.5,0.58,0.58
Jared Cannonier,Jack Hermansson,1,0,28,20,0,1,0,0,Middleweight,KO/TKO Punch,2,0:27,1bf49bf829964144,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,20 of 42,28 of 53,0.47,0.52,0,0,0,0,45,22,0.24,0.49,0.4,0.67,0.81,0.71,0.46,0.29,1.0,0.5,0,1.0,0.49,0.54
Mark Madsen,Danilo Belluardo,0,0,22,0,1,0,0,0,Lightweight,KO/TKO Punches,1,1:12,1bf49bf829964144,W,L,3 Rnd (5-5-5),Leon Roberts,Punches to Head From Half Guard,22 of 29,0 of 1,0.75,0.0,0,0,0,0,51,0,0.76,0.0,0,0,0,0,0.0,0.0,1.0,0,0.81,0,0.77,0.0
Gilbert Burns,Gunnar Nelson,0,0,30,20,1,0,1,0,Welterweight,U-DEC,3,5:00,1bf49bf829964144,L,W,3 Rnd (5-5-5),Neil Hall,Thomas Knudsen28 - 29.Maciej Motylewski28 - 29.Paul Sutherland28 - 29.,20 of 36,30 of 76,0.55,0.39,0,1,0,0,289,115,0.39,0.17,0.8,0.73,0.88,0.78,0.56,0.35,0.67,0.56,0.0,0.33,0.58,0.46
Ion Cutelaba,Khalil Rountree Jr.,0,0,15,5,4,0,0,0,Light Heavyweight,KO/TKO Elbows,1,2:35,1bf49bf829964144,W,L,3 Rnd (5-5-5),Marc Goddard,Elbows to Head On Ground,15 of 26,5 of 12,0.57,0.41,0,0,0,0,80,0,0.56,0.36,1.0,1.0,0,0,0.2,0.43,0.5,0.4,0.68,0,0.59,0.42
Ovince Saint Preux,Michal Oleksiejczuk,0,0,14,37,1,0,1,0,Light Heavyweight,SUB Von Flue Choke,2,2:46,1bf49bf829964144,L,W,3 Rnd (5-5-5),Leon Roberts,Von Flue Choke From Side Control,37 of 78,14 of 48,0.47,0.29,0,1,0,0,90,49,0.39,0.14,0.72,0.75,1.0,0,0.45,0.24,1.0,1.0,0.6,0,0.49,0.37
Nicolas Dalby,Alex Oliveira,0,0,31,18,1,3,0,0,Welterweight,U-DEC,3,5:00,1bf49bf829964144,W,L,3 Rnd (5-5-5),Rebin Saber,Nicolaj Bulow28 - 29.Cezary Wojciechowski28 - 29.Andy Roberts28 - 29.,31 of 84,18 of 47,0.36,0.38,0,0,1,0,329,236,0.3,0.35,0.42,0.0,0.88,0.8,0.2,0.36,0.61,0.33,0.52,0.5,0.52,0.48
John Phillips,Alen Amedovski,1,0,5,2,0,0,0,0,Middleweight,KO/TKO Punch,1,0:17,1bf49bf829964144,L,W,3 Rnd (5-5-5),Neil Hall,Punch to Head At Distance,2 of 11,5 of 8,0.18,0.62,0,0,0,0,0,2,0.18,0.57,0,1.0,0,0,0.18,0.5,0,0,0,1.0,0.18,0.62
Makhmud Muradov,Alessio Di Chirico,0,0,54,36,0,0,0,0,Middleweight,U-DEC,3,5:00,1bf49bf829964144,L,W,3 Rnd (5-5-5),Mikkel Birch Olsen,Nicolaj Bulow28 - 29.Cezary Wojciechowski28 - 29.Andy Roberts28 - 29.,36 of 113,54 of 169,0.31,0.31,0,0,0,0,43,38,0.31,0.24,0.0,0.59,0.56,0.75,0.29,0.31,0.67,0.56,0,0,0.32,0.33
Ismail Naurdiev,Siyar Bahadurzada,0,0,69,12,3,0,0,0,Welterweight,U-DEC,3,5:00,1bf49bf829964144,L,W,3 Rnd (5-5-5),Marc Goddard,Andreas Gruner26 - 30.Thomas Knudsen25 - 30.Maciej Motylewski25 - 30.,12 of 96,69 of 126,0.12,0.54,0,0,0,0,0,344,0.11,0.42,0.4,0.62,0.0,0.77,0.13,0.56,0.0,0,0,0.46,0.14,0.68
Giga Chikadze,Brandon Davis,0,0,59,34,1,3,0,0,Featherweight,S-DEC,3,5:00,1bf49bf829964144,L,W,3 Rnd (5-5-5),Rebin Saber,Nicolaj Bulow28 - 29.Andreas Gruner29 - 28.Cezary Wojciechowski28 - 29.,34 of 99,59 of 119,0.34,0.49,0,0,0,1,182,71,0.26,0.48,0.56,0.5,0.69,0.58,0.29,0.43,1.0,0,1.0,0.8,0.35,0.53
Lina Lansberg,Macy Chiasson,0,0,21,26,2,0,0,0,Women's Bantamweight,U-DEC,3,5:00,1bf49bf829964144,L,W,3 Rnd (5-5-5),Leon Roberts,Thomas Knudsen27 - 29.Paul Sutherland27 - 29.Andy Roberts28 - 29.,26 of 47,21 of 39,0.55,0.53,0,0,0,0,349,465,0.18,0.5,0.91,1.0,0.5,1.0,0.22,0.25,0.76,0.53,0,0.69,0.62,0.54
Marc Diakiese,Lando Vannata,0,0,40,25,4,0,0,0,Lightweight,U-DEC,3,5:00,1bf49bf829964144,W,L,3 Rnd (5-5-5),Neil Hall,Nicolaj Bulow27 - 30.Cezary Wojciechowski27 - 30.Andreas Gruner26 - 30.,40 of 99,25 of 70,0.4,0.35,0,0,0,0,307,6,0.31,0.11,0.4,0.67,0.64,0.59,0.37,0.36,0.67,0.25,0.58,0,0.41,0.47
Jack Shore,Nohelin Hernandez,0,0,46,6,4,0,1,0,Bantamweight,SUB Rear Naked Choke,3,2:51,1bf49bf829964144,W,L,3 Rnd (5-5-5),Mikkel Birch Olsen,Rear Naked Choke,46 of 92,6 of 36,0.5,0.16,1,0,0,1,392,40,0.43,0.15,1.0,0,0.79,0.5,0.45,0.12,0.75,0.5,0.57,0,0.58,0.23
Yair Rodriguez,Jeremy Stephens,0,0,2,0,0,0,0,0,Featherweight,CNC,1,0:15,94a5aaf573f780ad,NC,NC,5 Rnd (5-5-5-5-5),Herb Dean,Eye Poke by Rodriguez,2 of 2,0 of 1,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0,1.0,0,1.0,0.0,0,0,0,0,1.0,0.0
Carla Esparza,Alexa Grasso,0,0,44,45,4,0,0,1,Women's Strawweight,M-DEC,3,5:00,94a5aaf573f780ad,W,L,3 Rnd (5-5-5),Jason Herzog,Brian Puccillo28 - 28.Doug Crosby28 - 29.Rick Winter28 - 29.,44 of 80,45 of 103,0.55,0.43,0,1,1,1,432,19,0.45,0.42,0.79,0.67,1.0,0,0.47,0.39,0.67,0.5,0.83,0.89,0.73,0.61
